,id,code_id_1,code_id_2,label
2771,2771,2139,2575,0
2977,2977,2669,2784,0
2115,2115,1884,1895,1
2745,2745,2232,2549,0
898,898,303,914,0
2217,2217,1931,1999,0
3006,3006,2792,2816,0
1676,1676,1408,1482,0
266,266,199,272,0
1690,1690,1408,1646,0
823,823,306,839,0
2965,2965,2669,2772,0
3281,3281,2792,3091,0
215,215,199,221,0
2526,2526,2168,2330,0
708,708,303,724,1
563,563,306,579,0
3109,3109,2790,2919,0
354,354,303,367,0
1884,1884,1408,1542,0
2592,2592,2196,2396,0
2985,2985,2792,2794,0
3074,3074,2792,2884,0
1528,1528,1408,1533,0
1250,1250,1212,1269,0
1863,1863,1408,1756,0
148,148,109,152,0
969,969,312,985,0
169,169,109,173,0
1130,1130,1068,1147,1
2895,2895,2669,2702,0
671,671,306,687,0
893,893,312,909,0
2138,2138,1884,1918,1
1611,1611,1408,1593,0
3101,3101,2792,2911,0
1632,1632,1408,1488,0
427,427,303,442,0
1960,1960,1408,1802,0
552,552,308,568,0
1891,1891,1408,1445,0
1353,1353,1212,1368,0
658,658,306,674,0
2245,2245,2001,2028,0
1210,1210,1212,1228,0
241,241,199,247,0
2010,2010,1408,1833,0
1705,1705,1408,1653,1
2872,2872,2669,2679,0
1098,1098,1068,1115,1
2226,2226,2001,2009,0
526,526,306,541,0
128,128,109,132,1
2900,2900,2669,2707,0
1833,1833,1408,1738,0
395,395,310,409,0
1844,1844,1408,1492,0
1436,1436,1408,1452,0
1614,1614,1408,1596,0
1522,1522,1408,1528,0
2396,2396,2162,2195,0
2039,2039,1408,1846,0
2719,2719,2152,2523,1
978,978,306,994,1
2270,2270,2001,2053,0
2909,2909,2669,2716,0
1054,1054,1068,1071,1
2536,2536,2219,2340,0
750,750,355,766,0
1069,1069,1068,1086,1
1894,1894,1408,1770,0
2963,2963,2669,2770,0
3057,3057,2792,2867,0
432,432,306,447,0
2249,2249,2001,2032,1
1769,1769,1408,1697,0
910,910,312,926,0
2902,2902,2669,2709,0
15,15,0,17,0
2463,2463,2162,2267,0
1318,1318,1212,1334,0
336,336,322,348,0
454,454,312,469,0
1853,1853,1408,1624,0
1393,1393,1408,1409,0
554,554,355,570,0
2543,2543,2232,2347,0
378,378,306,392,0
1367,1367,1212,1381,0
1870,1870,1408,1655,0
1834,1834,1408,1739,0
1184,1184,1068,1201,1
676,676,312,692,0
2905,2905,2669,2712,1
180,180,179,185,1
2744,2744,2141,2548,0
799,799,355,815,0
3239,3239,2790,3049,0
315,315,322,327,0
3211,3211,2792,3021,0
603,603,308,619,0
2069,2069,1408,1859,0
516,516,355,531,0
72,72,0,74,0
1499,1499,1408,1486,0
2444,2444,2193,2248,0
3252,3252,2792,3062,1
1628,1628,1408,1488,0
1395,1395,1408,1411,0
3190,3190,2792,3000,0
1014,1014,322,1030,0
1667,1667,1408,1527,0
2811,2811,2154,2615,0
813,813,322,829,0
1416,1416,1408,1432,0
1141,1141,1068,1158,1
2753,2753,2202,2557,0
2000,2000,1408,1827,0
2220,2220,2001,2003,0
1111,1111,1068,1128,1
1015,1015,322,1031,0
2547,2547,2150,2351,0
3299,3299,2792,3109,0
3111,3111,2792,2921,0
1245,1245,1212,1264,0
2848,2848,2644,2653,1
1792,1792,1408,1714,0
172,172,109,176,0
2925,2925,2669,2732,0
490,490,306,505,0
2823,2823,2154,2627,0
1089,1089,1068,1106,1
639,639,306,655,0
1530,1530,1408,1535,0
2995,2995,2790,2804,0
923,923,312,939,0
1860,1860,1408,1541,0
1819,1819,1408,1729,0
2202,2202,1934,1984,0
3034,3034,2792,2844,0
2876,2876,2669,2683,1
3029,3029,2790,2839,0
1451,1451,1408,1466,0
3026,3026,2792,2836,0
2582,2582,2152,2386,0
2407,2407,2179,2208,0
1153,1153,1068,1170,1
2122,2122,1884,1902,1
1688,1688,1408,1535,0
2194,2194,1931,1976,0
1898,1898,1408,1774,0
3127,3127,2792,2937,0
1057,1057,1068,1074,1
1709,1709,1408,1426,0
2034,2034,1408,1513,0
2801,2801,2150,2605,0
314,314,322,326,0
2473,2473,2141,2277,0
3166,3166,2792,2976,0
374,374,312,387,0
2757,2757,2232,2561,0
1731,1731,1408,1672,0
805,805,306,821,0
1966,1966,1408,1419,0
1121,1121,1068,1138,1
2312,2312,2001,2095,1
476,476,303,491,0
2258,2258,2001,2041,1
2637,2637,2160,2441,0
403,403,303,417,0
770,770,303,786,0
2081,2081,1408,1642,0
2778,2778,2148,2582,0
2791,2791,2148,2595,0
1890,1890,1408,1538,0
410,410,303,424,0
282,282,199,288,0
1502,1502,1408,1510,0
3293,3293,2792,3103,0
807,807,312,823,0
1104,1104,1068,1121,1
2765,2765,2139,2569,0
1986,1986,1408,1818,0
3099,3099,2813,2909,0
2348,2348,2129,2132,1
758,758,306,774,0
538,538,312,554,0
286,286,199,292,0
1762,1762,1408,1533,0
3268,3268,2792,3078,0
1981,1981,1408,1814,0
448,448,306,463,0
2691,2691,2150,2495,0
175,175,179,180,1
2512,2512,2150,2316,0
1433,1433,1408,1449,0
610,610,322,626,0
2951,2951,2669,2758,0
977,977,303,993,0
2521,2521,2139,2325,0
812,812,310,828,0
253,253,199,259,1
3276,3276,2790,3086,0
857,857,303,873,0
2847,2847,2644,2652,1
451,451,312,466,1
2927,2927,2669,2734,0
2659,2659,2212,2463,0
99,99,0,102,0
1230,1230,1212,1248,0
2710,2710,2143,2514,0
186,186,179,191,1
2668,2668,2137,2472,0
229,229,199,235,0
2457,2457,2137,2261,0
0,0,0,1,0
640,640,390,656,0
1274,1274,1212,1292,0
2279,2279,2001,2062,0
3040,3040,2792,2850,0
2728,2728,2139,2532,0
2195,2195,1931,1977,0
2104,2104,1874,1883,1
1934,1934,1408,1612,0
621,621,312,637,0
840,840,306,856,1
1598,1598,1408,1508,0
2044,2044,1408,1620,0
3059,3059,2792,2869,0
950,950,308,966,0
1465,1465,1408,1479,0
1437,1437,1408,1453,0
1683,1683,1408,1641,0
40,40,0,42,0
1182,1182,1068,1199,1
739,739,312,755,0
139,139,109,143,1
2969,2969,2669,2776,0
1283,1283,1251,1301,1
312,312,306,324,0
2096,2096,1874,1875,1
3037,3037,2790,2847,0
686,686,303,702,0
3141,3141,2792,2951,0
1979,1979,1408,1409,0
2356,2356,2143,2144,0
1425,1425,1408,1441,0
2293,2293,2001,2076,1
460,460,308,475,0
1294,1294,1212,1310,0
177,177,179,182,1
1799,1799,1408,1720,0
2638,2638,2179,2442,0
2722,2722,2202,2526,0
2101,2101,1874,1880,1
277,277,199,283,0
871,871,306,887,0
3181,3181,2792,2991,0
409,409,303,423,0
2525,2525,2143,2329,0
1678,1678,1408,1637,0
230,230,199,236,0
2079,2079,1408,1866,0
864,864,303,880,0
790,790,306,806,0
2387,2387,2137,2185,0
91,91,0,94,0
1976,1976,1408,1435,0
2530,2530,2160,2334,0
2628,2628,2158,2432,0
2472,2472,2196,2276,0
1933,1933,1408,1793,0
1270,1270,1212,1288,0
1702,1702,1408,1624,1
3051,3051,2813,2861,0
2134,2134,1884,1914,1
2641,2641,2154,2445,0
2879,2879,2669,2686,0
2846,2846,2644,2651,1
1263,1263,1212,1281,0
437,437,322,452,1
1660,1660,1408,1626,0
2601,2601,2196,2405,0
2915,2915,2669,2722,0
1800,1800,1408,1693,0
3204,3204,2813,3014,0
2377,2377,2168,2174,0
737,737,312,753,0
1565,1565,1408,1564,0
1410,1410,1408,1426,0
1918,1918,1408,1783,0
2159,2159,1934,1941,0
2649,2649,2148,2453,0
1810,1810,1408,1670,0
522,522,322,537,0
696,696,306,712,0
1366,1366,1212,1380,0
1838,1838,1408,1741,1
192,192,179,197,1
8,8,0,10,0
170,170,109,174,1
1880,1880,1408,1766,0
2455,2455,2212,2259,0
70,70,0,72,0
884,884,306,900,0
1841,1841,1408,1439,0
1591,1591,1408,1581,0
2419,2419,2196,2222,0
2040,2040,1408,1837,0
2633,2633,2160,2437,0
1370,1370,1212,1384,0
2149,2149,1884,1929,1
1561,1561,1408,1561,0
523,523,312,538,0
3164,3164,2790,2974,0
2489,2489,2158,2293,0
685,685,303,701,0
1515,1515,1408,1522,0
1728,1728,1408,1669,0
369,369,306,382,0
405,405,306,419,0
2090,2090,1408,1449,0
82,82,84,85,0
643,643,303,659,0
3021,3021,2792,2831,0
3117,3117,2792,2927,0
1968,1968,1408,1807,0
1903,1903,1408,1759,0
2540,2540,2168,2344,0
2197,2197,1934,1979,1
3,3,4,5,0
2490,2490,2179,2294,0
808,808,308,824,0
2238,2238,2001,2021,1
2324,2324,2001,2107,0
2354,2354,2139,2140,0
2621,2621,2137,2425,0
227,227,199,233,0
2868,2868,2669,2675,0
3185,3185,2792,2995,0
3246,3246,2813,3056,0
3104,3104,2792,2914,0
2093,2093,1408,1821,1
2229,2229,2001,2012,0
2534,2534,2212,2338,0
2250,2250,2001,2033,0
1037,1037,306,1053,0
2764,2764,2193,2568,0
2185,2185,1931,1967,0
890,890,306,906,0
2784,2784,2202,2588,0
989,989,306,1005,0
1325,1325,1212,1341,1
110,110,109,114,0
2605,2605,2148,2409,0
1321,1321,1212,1337,0
2414,2414,2152,2216,1
1384,1384,1212,1398,0
988,988,312,1004,0
2189,2189,1931,1971,0
2246,2246,2001,2029,0
1202,1202,1212,1220,0
3133,3133,2792,2943,0
2708,2708,2168,2512,0
3280,3280,2792,3090,0
1682,1682,1408,1640,0
2072,2072,1408,1741,1
3042,3042,2790,2852,0
313,313,306,325,0
2689,2689,2150,2493,0
2888,2888,2669,2695,0
1639,1639,1408,1511,0
1999,1999,1408,1826,0
2690,2690,2232,2494,0
2989,2989,2792,2798,0
1742,1742,1408,1663,0
406,406,322,420,0
1627,1627,1408,1428,0
1440,1440,1408,1456,0
932,932,306,948,0
225,225,199,231,0
420,420,306,435,0
2180,2180,1934,1962,0
2916,2916,2669,2723,0
2906,2906,2669,2713,0
1484,1484,1408,1475,0
506,506,303,521,0
995,995,390,1011,0
1795,1795,1408,1717,0
446,446,306,461,1
2574,2574,2158,2378,0
1653,1653,1408,1621,0
2973,2973,2669,2780,0
1048,1048,322,1064,0
2421,2421,2219,2224,0
2795,2795,2196,2599,0
279,279,199,285,0
2713,2713,2232,2517,0
401,401,312,415,0
1288,1288,1212,1236,0
1730,1730,1408,1671,0
1673,1673,1408,1634,0
2486,2486,2145,2290,0
2130,2130,1884,1910,1
2838,2838,2150,2642,0
3038,3038,2792,2848,0
1982,1982,1408,1658,0
2313,2313,2001,2096,0
2854,2854,2659,2660,1
1212,1212,1212,1230,1
1252,1252,1212,1271,0
1701,1701,1408,1651,0
302,302,312,313,0
785,785,312,801,0
28,28,0,30,0
1532,1532,1408,1537,0
589,589,306,605,0
1897,1897,1408,1773,0
1010,1010,306,1026,0
2418,2418,2137,2221,0
1216,1216,1212,1234,0
2790,2790,2154,2594,0
3220,3220,2790,3030,0
3205,3205,2792,3015,0
594,594,306,610,0
1726,1726,1408,1667,0
1412,1412,1408,1428,0
1896,1896,1408,1772,0
57,57,0,59,0
207,207,199,213,0
1521,1521,1408,1527,0
247,247,199,253,0
2952,2952,2669,2759,0
2502,2502,2158,2306,0
1939,1939,1408,1525,0
1209,1209,1212,1227,0
2156,2156,1931,1938,1
1803,1803,1408,1545,0
880,880,308,896,0
2482,2482,2162,2286,0
1056,1056,1068,1073,1
1234,1234,1212,1253,0
1490,1490,1408,1501,0
2439,2439,2179,2243,0
1900,1900,1408,1773,0
2338,2338,2001,2121,0
1804,1804,1408,1722,0
2216,2216,1931,1998,0
421,421,322,436,0
2236,2236,2001,2019,0
519,519,355,534,0
2442,2442,2139,2246,0
1637,1637,1408,1611,0
307,307,303,318,0
2382,2382,2179,2180,0
1091,1091,1068,1108,1
1053,1053,1068,1070,1
2966,2966,2669,2773,0
1937,1937,1408,1643,1
1123,1123,1068,1140,1
528,528,312,543,0
1983,1983,1408,1815,0
2307,2307,2001,2090,0
228,228,199,234,0
201,201,199,207,1
153,153,109,157,0
997,997,306,1013,0
146,146,109,150,1
2943,2943,2669,2750,0
2327,2327,2001,2110,0
1051,1051,355,1067,0
1115,1115,1068,1132,1
677,677,306,693,0
990,990,355,1006,0
3179,3179,2792,2989,0
2938,2938,2669,2745,0
64,64,0,66,0
1430,1430,1408,1446,0
972,972,322,988,0
1842,1842,1408,1744,0
3144,3144,2813,2954,0
2128,2128,1884,1908,1
214,214,199,220,0
272,272,199,278,1
1113,1113,1068,1130,1
3105,3105,2792,2915,0
2091,2091,1408,1536,0
1724,1724,1408,1527,0
2892,2892,2669,2699,0
2144,2144,1884,1924,1
1962,1962,1408,1601,0
2004,2004,1408,1654,0
1642,1642,1408,1613,0
210,210,199,216,0
2991,2991,2792,2800,0
2487,2487,2196,2291,0
1557,1557,1408,1558,0
1779,1779,1408,1704,0
718,718,303,734,0
3202,3202,2790,3012,0
2518,2518,2154,2322,0
458,458,303,473,1
717,717,312,733,0
441,441,312,456,0
494,494,308,509,0
655,655,306,671,0
1548,1548,1408,1551,0
3273,3273,2792,3083,0
981,981,322,997,0
1906,1906,1408,1479,0
1707,1707,1408,1655,0
1273,1273,1212,1291,0
2727,2727,2145,2531,0
96,96,0,99,0
1339,1339,1212,1355,1
1198,1198,1212,1216,1
1953,1953,1408,1629,0
2666,2666,2212,2470,0
1916,1916,1408,1781,0
711,711,306,727,0
2492,2492,2160,2296,0
416,416,303,431,1
2066,2066,1408,1857,0
2116,2116,1884,1896,1
2014,2014,1408,1732,0
2610,2610,2158,2414,0
338,338,312,350,0
423,423,306,438,0
2815,2815,2141,2619,0
1577,1577,1408,1572,0
958,958,308,974,0
122,122,109,126,0
2306,2306,2001,2089,0
2210,2210,1931,1992,1
2077,2077,1408,1865,0
1734,1734,1408,1674,0
3255,3255,2792,3065,0
121,121,109,125,1
1249,1249,1212,1268,1
2933,2933,2669,2740,0
2741,2741,2158,2545,0
605,605,322,621,1
1564,1564,1408,1563,0
2290,2290,2001,2073,0
250,250,199,256,0
1543,1543,1408,1547,0
85,85,0,88,0
2736,2736,2150,2540,0
2680,2680,2168,2484,0
1291,1291,1212,1307,0
2031,2031,1408,1761,0
2318,2318,2001,2101,0
2316,2316,2001,2099,0
1721,1721,1408,1521,0
1285,1285,1212,1303,0
3298,3298,2792,3108,0
287,287,199,293,1
2032,2032,1408,1843,0
353,353,303,366,0
2121,2121,1884,1901,1
235,235,199,241,0
2961,2961,2669,2768,0
2017,2017,1408,1837,0
1654,1654,1408,1622,0
907,907,308,923,0
1418,1418,1408,1434,0
2016,2016,1408,1836,0
1758,1758,1408,1689,0
1909,1909,1408,1547,0
2596,2596,2143,2400,0
465,465,306,480,0
2516,2516,2158,2320,0
518,518,312,533,0
2890,2890,2669,2697,0
1806,1806,1408,1724,0
2677,2677,2139,2481,0
3270,3270,2790,3080,0
1714,1714,1408,1659,0
2052,2052,1408,1666,0
903,903,303,919,1
3301,3301,2792,3111,0
162,162,109,166,0
2281,2281,2001,2064,0
2071,2071,1408,1861,0
3124,3124,2813,2934,0
3244,3244,2792,3054,0
365,365,306,378,0
2843,2843,2644,2648,1
160,160,109,164,0
618,618,355,634,0
349,349,312,362,0
118,118,109,122,0
222,222,199,228,0
373,373,308,386,0
2835,2835,2196,2639,0
971,971,312,987,0
452,452,312,467,0
2883,2883,2669,2690,0
2996,2996,2792,2805,0
1012,1012,308,1028,1
1110,1110,1068,1127,1
926,926,322,942,0
2437,2437,2143,2241,0
2435,2435,2137,2239,0
1764,1764,1408,1693,0
2211,2211,1931,1993,0
2887,2887,2669,2694,0
521,521,322,536,0
810,810,306,826,0
1365,1365,1212,1379,1
2358,2358,2137,2147,0
809,809,312,825,0
1791,1791,1408,1713,0
1236,1236,1212,1255,1
2958,2958,2669,2765,1
1231,1231,1212,1249,1
1664,1664,1408,1628,1
637,637,312,653,0
1967,1967,1408,1806,0
927,927,312,943,0
78,78,0,80,0
3147,3147,2792,2957,0
486,486,303,501,0
1002,1002,312,1018,0
3121,3121,2792,2931,0
1575,1575,1408,1570,0
2624,2624,2219,2428,0
2586,2586,2196,2390,0
450,450,306,465,0
3277,3277,2792,3087,0
587,587,306,603,0
1868,1868,1408,1761,0
564,564,308,580,0
316,316,308,328,1
394,394,355,408,0
1488,1488,1408,1499,0
1028,1028,312,1044,0
2930,2930,2669,2737,0
3264,3264,2790,3074,0
3015,3015,2792,2825,0
2997,2997,2792,2806,0
150,150,109,154,1
1772,1772,1408,1698,0
1732,1732,1408,1629,0
1334,1334,1212,1350,1
1214,1214,1212,1232,0
3086,3086,2792,2896,0
855,855,303,871,0
136,136,109,140,0
2471,2471,2179,2275,0
1027,1027,303,1043,0
1118,1118,1068,1135,1
1559,1559,1408,1559,0
845,845,322,861,0
2917,2917,2669,2724,0
1374,1374,1251,1388,1
1211,1211,1212,1229,0
2176,2176,1931,1958,0
2822,2822,2148,2626,0
1338,1338,1212,1354,0
385,385,306,399,0
2173,2173,1931,1955,0
1625,1625,1408,1603,0
462,462,306,477,0
1473,1473,1408,1487,0
1801,1801,1408,1721,0
221,221,199,227,1
3130,3130,2790,2940,0
1708,1708,1408,1656,0
728,728,303,744,0
2794,2794,2145,2598,0
1818,1818,1408,1728,0
1569,1569,1408,1567,0
3254,3254,2792,3064,0
2590,2590,2150,2394,0
1879,1879,1408,1765,1
2145,2145,1884,1925,1
2656,2656,2162,2460,0
882,882,306,898,0
1775,1775,1408,1700,0
2299,2299,2001,2082,0
58,58,4,60,0
1385,1385,1212,1399,0
2539,2539,2154,2343,0
2423,2423,2219,2226,0
1103,1103,1068,1120,1
2426,2426,2148,2229,0
1790,1790,1408,1712,0
372,372,308,385,0
602,602,322,618,0
143,143,109,147,1
2413,2413,2150,2215,0
301,301,310,311,0
3145,3145,2792,2955,0
2342,2342,2001,2125,0
2006,2006,1408,1831,0
1523,1523,1408,1482,0
899,899,306,915,0
2465,2465,2137,2269,0
1188,1188,1068,1205,1
1213,1213,1212,1231,0
1218,1218,1212,1236,0
556,556,312,572,0
413,413,303,428,0
1848,1848,1408,1747,0
254,254,199,260,0
1277,1277,1212,1295,0
1582,1582,1408,1575,0
719,719,312,735,0
1106,1106,1068,1123,1
902,902,303,918,0
142,142,109,146,1
612,612,306,628,0
2073,2073,1408,1862,0
2375,2375,2143,2172,0
1718,1718,1408,1409,0
477,477,312,492,0
906,906,303,922,0
3176,3176,2813,2986,0
1745,1745,1408,1681,0
2416,2416,2152,2218,0
1951,1951,1408,1800,0
1902,1902,1408,1724,0
3078,3078,2790,2888,0
1422,1422,1408,1438,0
2303,2303,2001,2086,0
601,601,355,617,0
237,237,199,243,0
1073,1073,1068,1090,1
925,925,306,941,0
1329,1329,1212,1345,0
962,962,306,978,0
1651,1651,1408,1619,0
2555,2555,2145,2359,0
3297,3297,2792,3107,0
1857,1857,1408,1467,1
2261,2261,2001,2044,0
2672,2672,2158,2476,0
1377,1377,1212,1391,0
3223,3223,2792,3033,0
360,360,303,373,0
2095,2095,1408,1873,0
2376,2376,2152,2173,1
2629,2629,2160,2433,0
366,366,312,379,0
1092,1092,1068,1109,1
593,593,390,609,0
2301,2301,2001,2084,0
267,267,199,273,1
326,326,310,338,0
1138,1138,1068,1155,1
1840,1840,1408,1743,0
2849,2849,2644,2654,1
1507,1507,1408,1515,0
2243,2243,2001,2026,0
2878,2878,2669,2685,0
182,182,179,187,1
2395,2395,2193,2194,0
1174,1174,1068,1191,1
1776,1776,1408,1701,0
2477,2477,2212,2281,0
2445,2445,2193,2249,0
1183,1183,1068,1200,1
2369,2369,2141,2165,0
3162,3162,2792,2972,0
706,706,308,722,0
97,97,0,100,0
345,345,306,358,0
2213,2213,1931,1995,0
1706,1706,1408,1654,0
459,459,312,474,0
3002,3002,2792,2811,0
2222,2222,2001,2005,0
1643,1643,1408,1614,0
1223,1223,1212,1241,0
3295,3295,2792,3105,0
2715,2715,2162,2519,0
3067,3067,2792,2877,0
3140,3140,2792,2950,0
760,760,312,776,0
680,680,355,696,0
2389,2389,2143,2187,0
947,947,310,963,0
1330,1330,1212,1346,0
1082,1082,1068,1099,1
811,811,310,827,0
598,598,306,614,0
1152,1152,1068,1169,1
1593,1593,1408,1583,0
2700,2700,2148,2504,0
2157,2157,1931,1939,0
1458,1458,1408,1473,0
1448,1448,1408,1463,0
2625,2625,2145,2429,0
3083,3083,2792,2893,0
1629,1629,1408,1604,0
2402,2402,2202,2203,1
2990,2990,2792,2799,0
1563,1563,1408,1562,0
2653,2653,2160,2457,0
422,422,306,437,0
2133,2133,1884,1913,1
1177,1177,1068,1194,1
588,588,355,604,0
949,949,312,965,0
2365,2365,2158,2159,0
1585,1585,1408,1522,0
2733,2733,2219,2537,0
742,742,312,758,0
268,268,199,274,0
108,108,109,112,0
513,513,306,528,0
2818,2818,2196,2622,0
2717,2717,2219,2521,0
3009,3009,2792,2819,0
2705,2705,2212,2509,0
2273,2273,2001,2056,0
699,699,306,715,0
2972,2972,2669,2779,0
957,957,322,973,0
244,244,199,250,0
1516,1516,1408,1523,1
2866,2866,2669,2673,0
872,872,322,888,0
766,766,308,782,0
2855,2855,2659,2661,1
2343,2343,2001,2126,0
744,744,306,760,0
1193,1193,1068,1210,1
2837,2837,2137,2641,0
50,50,0,52,0
509,509,303,524,0
3159,3159,2792,2969,0
320,320,303,332,0
2267,2267,2001,2050,0
2759,2759,2141,2563,0
189,189,179,194,1
859,859,312,875,0
325,325,308,337,1
2191,2191,1931,1973,0
2777,2777,2179,2581,0
2234,2234,2001,2017,0
615,615,322,631,1
1541,1541,1408,1545,0
2403,2403,2193,2204,0
622,622,310,638,0
9,9,0,11,0
248,248,199,254,0
1000,1000,312,1016,0
2946,2946,2669,2753,0
3091,3091,2792,2901,0
1100,1100,1068,1117,1
2390,2390,2154,2188,0
1170,1170,1068,1187,1
919,919,306,935,0
74,74,4,76,0
2615,2615,2160,2419,0
130,130,109,134,0
1143,1143,1068,1160,1
19,19,4,21,0
780,780,312,796,0
1511,1511,1408,1428,0
2591,2591,2193,2395,0
35,35,0,37,0
1961,1961,1408,1712,0
690,690,312,706,0
3219,3219,2792,3029,0
362,362,308,375,0
2470,2470,2141,2274,0
2889,2889,2669,2696,0
1303,1303,1212,1319,0
2266,2266,2001,2049,0
178,178,179,183,1
291,291,199,297,0
769,769,303,785,0
2505,2505,2150,2309,0
754,754,355,770,0
756,756,306,772,0
2617,2617,2232,2421,0
2155,2155,1931,1937,1
283,283,199,289,0
1409,1409,1408,1425,0
2734,2734,2196,2538,0
1392,1392,1402,1407,1
1547,1547,1408,1550,1
1567,1567,1408,1566,0
2272,2272,2001,2055,0
2956,2956,2669,2763,0
1219,1219,1212,1237,0
3224,3224,2792,3034,0
2620,2620,2143,2424,0
2378,2378,2141,2175,0
1450,1450,1408,1465,0
1241,1241,1212,1260,0
635,635,312,651,0
109,109,109,113,0
1831,1831,1408,1421,0
2274,2274,2001,2057,0
2673,2673,2152,2477,0
1140,1140,1068,1157,1
3135,3135,2790,2945,0
168,168,109,172,1
2359,2359,2148,2149,0
1633,1633,1408,1607,0
1244,1244,1212,1263,0
1135,1135,1068,1152,1
530,530,545,546,0
56,56,0,58,0
1185,1185,1068,1202,1
43,43,0,45,0
87,87,0,90,0
1489,1489,1408,1500,0
3228,3228,2792,3038,0
2608,2608,2162,2412,0
158,158,109,162,1
1200,1200,1212,1218,0
51,51,0,53,0
68,68,0,70,0
2456,2456,2202,2260,0
2058,2058,1408,1837,0
874,874,306,890,0
2832,2832,2152,2636,0
956,956,303,972,0
414,414,306,429,1
1420,1420,1408,1436,0
1064,1064,1068,1081,1
543,543,322,559,0
24,24,4,26,0
1812,1812,1408,1549,0
2623,2623,2179,2427,0
2780,2780,2193,2584,0
3116,3116,2792,2926,0
2496,2496,2137,2300,0
2310,2310,2001,2093,0
3096,3096,2813,2906,0
789,789,306,805,0
